First_Name,Last_Name,DOB,PAN_Number,Aadhaar_Number,Risk_Score,Fraud_Flag
Sai,Kumar,1993-11-09,263633830N,0891269470,0.87,1
Aditya,Patel,2001-03-17,TJBDE6819U,222178762044,0.1,0
Sai,Rao,1996-08-31,OYKKE9383E,994433049218,0.13,0
Aditya,Rao,1978-01-09,AGPYE2670F,138248197045,0.12,0
Vihaan,Verma,1978-07-29,IFHVJ2321J,714548908789,0.09,0
Aarav,Desai,1975-04-13,RUEVS5002H,625396556246,0.19,0
Aarav,Mehta,1981-11-23,UWVCL5147U,972638863173,0.15,0
Sai,Patel,1975-09-12,TIJRB2356K,012259676800,0.24,0
Rohan,Patel,2004-10-18,KQLOG0945E,518266497360,0.04,0
Isha,Sharma,2002-01-28,PDHPK1561L,857976021969,0.16,0
Aarav,Joshi,1979-04-25,SPXIY6550A,137080607770,0.01,0
Sai,Sharma,1971-05-14,CRPQL6530M,526584305914,0.23,0
Aarav,Gupta,1996-07-22,KRPHK0522O,371507633634,0.1,0
Aditya,Kumar,1979-02-28,ARMEI6593L,171500579460,0.05,0
Kavya,Desai,2004-10-04,OWYDU6215J,895890320534,0.23,0
Sai,Kumar,1973-01-23,JJAXL5957S,788506282966,0.2,0
Aditya,Joshi,1987-07-21,MRXFM0194D,278318770274,0.17,0
Aditya,Desai,1981-07-23,BYHPH3010Q,151297754271,0.13,0
Aditya,Joshi,1978-03-19,MJCYP3277Q,535982340825,0.16,0
Aanya,Rao,1981-06-14,BDOKB0297I,649445281778,0.25,0
Aditya,Gupta,1982-10-16,LJVPN8092U,720855277505,0.14,0
Kavya,Mehta,1975-06-06,ZAIYR8313F,871072596920,0.23,0
Aditya,Sharma,1990-05-12,DKHZB5185M,101085396822,0.04,0
Vihaan,Joshi,1995-07-07,DJXPP0125U,362429164465,0.06,0
Sai,Joshi,1983-10-06,MUBSR6713A,053894560937,0.29,0
Diya,Sharma,1980-01-28,WMVBO4750B,562453325521,0.3,0
Diya,Kumar,1995-09-12,KBRZU5642M,651167544329,0.03,0
Vihaan,Verma,1975-08-24,GRKCX0873Y,907668316836,0.21,0
Vivaan,Rao,1996-04-06,QNJEY5720O,840007672762,0.09,0
Aditya,Verma,1996-10-17,ULAAR4775I,665550059355,0.28,0
Vihaan,Sharma,1997-06-26,RFMEM0692G,349245259510,0.17,0
Isha,Singh,1992-09-20,FYOQB8077P,059791347615,0.12,0
Sai,Singh,1987-12-05,WTVTV7968S,969420124856,0.03,0
Kavya,Verma,1996-10-07,OTZVE3304F,351389678728,0.16,0
Diya,Singh,1987-07-21,BQNVS7458Y,011223079293,0.21,0
Vivaan,Sharma,1970-02-27,HOEYQ6294G,122045558243,0.17,0
Kavya,Patel,1974-11-21,FEWGR4399N,696690813396,0.28,0
Aarav,Joshi,1988-07-26,XJHEB8622L,930531604540,0.24,0
Isha,Sharma,1972-04-06,GQOCP0527Q,256444842527,0.19,0
Aanya,Joshi,1994-06-21,XROHA1951M,876338189123,0.17,0
Isha,Joshi,1996-12-16,GXGHI0339H,168592087792,0.11,0
Diya,Singh,1994-11-29,QTSEW7165U,103494097410,0.24,0
Rohan,Sharma,1993-09-14,SQXSQ5522O,628076734781,0.03,0
Kavya,Patel,1996-07-05,NIHUP5332J,129175616779,0.12,0
Kavya,Mehta,1994-02-18,CLWSZ8182U,051423032470,0.16,0
Isha,Verma,1986-06-16,ONLGC0274X,492434986506,0.02,0
Diya,Patel,2003-01-17,CFFCO8478K,256602701730,0.04,0
Rohan,Rao,1987-05-24,BLWCK9879L,120566527685,0.2,0
Nisha,Sharma,1982-04-29,GASPO3128X,720182223426,0.12,0
Aanya,Patel,2004-10-14,EDTGF2011M,124932206007,0.3,0
Isha,Rao,1970-07-26,MCPEI6222C,753815099869,0.23,0
Isha,Patel,2004-03-20,VJPWD9905R,418241619872,0.08,0
Aditya,Verma,2000-08-20,ONHSS9428J,366303712150,0.1,0
Vihaan,Gupta,1977-03-16,ZHEJL8249W,762479542645,0.04,0
Rohan,Patel,1973-02-24,HUJRP1263O,908559457816,0.04,0
Vivaan,Verma,1996-07-05,KMRWN8254E,760502251646,0.15,0
Arjun,Gupta,1976-11-02,JFAUJ2688R,032471465286,0.08,0
Sai,Gupta,1971-11-12,XTGYF0477B,333681617834,0.01,0
Arjun,Patel,1987-04-15,YJIHP3872J,051163763916,0.02,0
Arjun,Patel,1991-09-10,FDEGI5292R,733594712636,0.06,0
Nisha,Verma,1986-09-01,FUWBU2783H,751232256806,0.26,0
Aanya,Singh,2002-08-18,QPKSE7219K,273553683993,0.13,0
Diya,Desai,2001-05-21,INIZC2332K,940528269788,0.19,0
Aarav,Gupta,1999-07-09,YAWGR6461S,480049499288,0.07,0
Aanya,Singh,1979-12-07,SMOQM9017U,015534208765,0.11,0
Sai,Sharma,1990-11-17,DPNEX5480A,649530417439,0.2,0
Rohan,Kumar,1987-05-26,IHWFZ5180V,268723676818,0.15,0
Arjun,Verma,1985-09-07,697731538X,3522103262,0.87,1
Nisha,Desai,1974-03-10,613350496G,4051891819,0.71,1
Sai,Rao,1993-08-12,YIXXL7889B,118419613039,0.08,0
Arjun,Verma,1976-04-29,QBGRN4224Y,037359029612,0.13,0
Diya,Kumar,1974-02-22,HCHYT6857Y,733689884040,0.16,0
Kavya,Verma,1999-02-19,331783108X,3552013802,0.95,1
Aditya,Joshi,1986-06-30,427833165N,5402279408,0.86,1
Isha,Kumar,1975-12-03,VVGRZ0357F,053823924238,0.11,0
Sai,Joshi,2004-12-10,SJVGL2056I,428225530458,0.29,0
Aditya,Desai,1972-03-03,NRPNF3104K,868454128490,0.06,0
Aditya,Kumar,1987-09-25,SCQGG3932O,153703923445,0.25,0
Diya,Gupta,2000-02-01,WBYBG8789H,792681256356,0.2,0
Aanya,Gupta,2002-02-16,QRADD5815S,555015514125,0.22,0
Vihaan,Singh,1994-07-15,DBFNM8787P,055430849652,0.26,0
Aanya,Patel,1984-02-21,TMKTA8431A,844165123357,0.06,0
Kavya,Sharma,1994-03-19,VTABN9888I,677848784815,0.08,0
Nisha,Gupta,1974-08-27,QJHFU4915K,757881760030,0.3,0
Rohan,Gupta,1973-08-25,TTLPM1044Q,806407015850,0.2,0
Arjun,Singh,1970-08-23,YNGJQ1889G,774317138016,0.29,0
Vivaan,Joshi,1991-12-29,OIXJJ3134C,843246227873,0.19,0
Sai,Gupta,1971-10-25,WKUOJ4395V,399064145341,0.23,0
Aditya,Mehta,1978-08-30,VMXQF0371C,776848200819,0.26,0
Rohan,Patel,1997-07-07,MMDVN2832A,722389839650,0.23,0
Sai,Kumar,1975-08-30,ZRWUJ1214D,768719323426,0.16,0
Rohan,Gupta,1998-09-11,FBMEB9564T,192288224792,0.27,0
Kavya,Kumar,1993-03-22,JBJMH2257S,628664542870,0.25,0
Aarav,Desai,2000-07-23,SXXUV4841U,248879523974,0.19,0
Aarav,Sharma,1988-02-27,BADVC1235E,394541645550,0.26,0
Aditya,Singh,1984-11-02,PIUKK8922H,810058039469,0.24,0
Aditya,Kumar,2003-07-04,DJUZJ8924Y,085011575253,0.12,0
Arjun,Mehta,1988-08-10,VEQQB1994B,207948535942,0.07,0
Aditya,Desai,1997-05-17,OPNZN9323S,213030554817,0.08,0
Vihaan,Patel,1974-01-05,252862261X,9524455670,0.87,1
Sai,Singh,1983-11-04,KBVCA1027V,572328491585,0.18,0
Rohan,Rao,1997-04-09,DBZQV9689W,402266860960,0.03,0
Diya,Patel,1991-09-10,BYNIZ2371Y,782085651794,0.15,0
Sai,Gupta,1984-04-17,CZTXJ9435T,574030328841,0.05,0
Vivaan,Singh,1997-03-17,JYNCO2125Y,844222208155,0.11,0
Vihaan,Joshi,2000-05-20,846450266T,8303114164,0.96,1
Sai,Desai,1993-11-21,XSIMV3558S,305464239909,0.04,0
Aditya,Kumar,1985-07-13,NISWS7004Y,223784676649,0.09,0
Vihaan,Singh,1992-06-19,OOBMO6542V,882901540895,0.29,0
Aditya,Patel,1982-08-20,EKYIS8794E,458883607614,0.29,0
Nisha,Gupta,1970-03-09,ZIUGR6156J,846317454117,0.15,0
Aanya,Patel,1985-05-03,CTSNV8809E,766957749020,0.29,0
Aditya,Gupta,1983-04-26,GLXUU5466X,601342544109,0.24,0
Vivaan,Patel,1994-06-26,921485085A,1301189503,0.89,1
Rohan,Verma,2001-12-09,BKCKH2248W,622921992749,0.25,0
Rohan,Mehta,1975-01-13,OIAES5600B,844676570928,0.02,0
Vivaan,Rao,2002-10-09,JSKYP4031D,473102374690,0.24,0
Aarav,Singh,1973-07-23,XXYUH7335J,168532006066,0.3,0
Isha,Desai,2000-08-11,JIACQ4124U,840138059373,0.14,0
Arjun,Joshi,1979-07-17,WMUNV5285J,767855539839,0.19,0
Vihaan,Joshi,1992-11-22,TYEJQ1563F,472507048961,0.02,0
Diya,Singh,1991-01-19,YLPXT0795R,408453422224,0.04,0
Rohan,Verma,1988-05-17,FNEAI4824W,278282112557,0.15,0
Aditya,Verma,1990-10-31,LXTLX7537A,394110273319,0.02,0
Vivaan,Sharma,1970-02-01,FYAUB4399A,395465645900,0.16,0
Aanya,Singh,1999-04-04,MBUUS1130J,641750550156,0.3,0
Vihaan,Gupta,1999-03-24,NSGJL0643L,005980431308,0.04,0
Vivaan,Patel,1996-05-02,WUHKK1561S,522599185834,0.2,0
Vihaan,Desai,2000-04-04,MAFWB7365J,244353666452,0.12,0
Aanya,Rao,1980-04-12,VUEJI3524L,935457780542,0.28,0
Rohan,Verma,2003-05-13,VSPFN3293G,397521361366,0.14,0
Rohan,Desai,1987-01-02,YJTHL5140B,150624647093,0.17,0
Vihaan,Verma,1995-11-29,NNVNO8523Z,735093071744,0.24,0
Diya,Rao,2004-09-20,FEKBE5341M,344126618206,0.19,0
Aarav,Desai,1973-08-06,JVHGP8177U,536908306728,0.09,0
Nisha,Kumar,2002-08-24,FGSJA9469B,189870584985,0.07,0
Rohan,Patel,1986-07-31,CTJBJ9588G,214025344874,0.04,0
Kavya,Kumar,1983-07-06,HGQMA1439F,593562105161,0.11,0
Vihaan,Verma,1997-05-22,TXUJH7641C,071071735246,0.19,0
Aditya,Mehta,1973-09-08,OONIG6842X,456471407064,0.23,0
Sai,Patel,1995-03-18,LLAJA8188F,276165256352,0.02,0
Rohan,Patel,1984-03-02,CIPFX8268D,007829825155,0.25,0
Arjun,Desai,1998-08-31,VBJWG1558Z,924234566755,0.14,0
Arjun,Patel,1974-10-15,QFWLR2910A,665239475284,0.23,0
Sai,Desai,1989-08-22,WCFWC8004H,278445159512,0.23,0
Aanya,Patel,1975-06-28,ZCEJB2707E,950285423559,0.23,0
Isha,Gupta,1987-09-29,727031234Z,2079195869,0.81,1
Isha,Sharma,1999-09-19,PLMQO7647J,103403625854,0.03,0
Aditya,Mehta,1992-11-10,WGKPT8872X,417084417410,0.19,0
Isha,Verma,1982-05-22,UDCGB3229Q,989881847967,0.07,0
Rohan,Singh,2002-05-10,CHVDB4467F,747865498005,0.24,0
Vihaan,Gupta,1995-02-08,APAIS6705U,025241326628,0.1,0
Vihaan,Singh,1987-04-26,PBQGE6801S,776143719265,0.16,0
Nisha,Sharma,1984-01-22,NYSQE3852O,344553764656,0.09,0
Arjun,Rao,1974-12-12,SNZKU4178R,601524336903,0.18,0
Aarav,Patel,1981-10-21,TGFNW9464I,765171845125,0.12,0
Sai,Kumar,1971-11-06,YLTEB2748V,022580899212,0.3,0
Aanya,Gupta,1970-11-23,CFVQP0514V,085765176688,0.09,0
Vivaan,Kumar,1997-02-19,DEZGY8681U,512705011431,0.07,0
Isha,Gupta,1974-06-02,GZAJY8925F,531521799347,0.29,0
Kavya,Gupta,1972-01-07,LVBTT0539Q,468480283094,0.03,0
Diya,Verma,1980-07-14,RJZTX1432R,345510933921,0.03,0
Aditya,Singh,2001-07-10,XSAVY7112V,441413221651,0.02,0
Vihaan,Mehta,1974-06-08,KDHFZ7442S,628982110281,0.18,0
Aanya,Desai,1974-08-05,NOZBT1323O,109419374196,0.3,0
Aanya,Singh,1999-08-31,TFESA5955L,501981148342,0.03,0
Vihaan,Verma,1980-03-13,MZTGD5145X,431430799406,0.19,0
Diya,Desai,1992-04-14,SMTRK1068J,630991719568,0.25,0
Nisha,Patel,1998-07-10,TMAOF7041P,451739395856,0.3,0
Aditya,Desai,1983-10-20,AFDIY3668X,357269178955,0.12,0
Diya,Desai,1972-01-18,ITLYG0550U,780689833986,0.08,0
Rohan,Gupta,2003-01-20,FDYXX5545X,981325284472,0.11,0
Aarav,Desai,1979-09-07,DSEYE3453E,798368998902,0.27,0
Rohan,Desai,1993-02-05,JPKRR9543I,553843395169,0.29,0
Aarav,Singh,1977-06-10,HXGGO5806U,476611645010,0.06,0
Aditya,Singh,1984-05-10,ABUWR9475R,583445989959,0.27,0
Vivaan,Rao,1972-11-15,HKXCI4130V,940111709079,0.03,0
Vihaan,Gupta,1986-06-13,RYRLW8601D,332238522228,0.25,0
Aditya,Mehta,2001-05-18,APWGG6810V,321374369284,0.08,0
Aarav,Kumar,1991-10-28,OMWMT1960K,677892723236,0.03,0
Nisha,Mehta,2001-07-29,YDSBA0381K,906250188212,0.08,0
